"K_C_V01_1","K_C_V01_2","K_C_V02_1","K_C_V02_2","K_C_V03_1","K_C_V03_2","K_C_V04_1","K_C_V04_2","K_C_V05_1","K_C_V05_2","K_C_V06_1","K_C_V06_2","K_C_V07_1","K_C_V07_2","K_C_V08_1","K_C_V08_2","K_C_V09_1","K_C_V09_2","NGANHKT_1","NGANHKT_2","TUOI_1","TUOI_2","VON_1","VON_2"
0.28,0.38,0.01,0.16,439.83,996.99,1220.11,2807.73,0.01,0.01,0.02,0.02,0.13,0.11,0.29,0.33,0.2,0.22,"4101","4101",16,16,300,300
0.1,0.08,0.03,0.04,158.23,232.9,17.6,43.32,0.06,0.07,0.07,0.08,0.12,0.1,0.35,0.26,0.43,0.43,"4631","4631",11,11,4359.39,4359.39
0.13,0.08,-0.01,-0.02,675.81,1632.49,256.29,512.66,0.03,0.02,0.12,0.06,0,0,0,0.01,0.25,0.35,"1020","1020",16,16,400,400
0.11,0.11,-0.01,-0.18,417.88,293.19,488.66,354.27,0.03,0.05,0.04,0.21,0.08,0.03,0.13,0.08,0.49,0.23,"4669","4669",11,11,370,370
0.55,0.3,2.12,-0.03,35916.67,9058.67,59.13,18.2,0.62,0.89,0.65,0.9,0,0.04,0.02,0.08,0.32,0.03,"6810","6810",16,16,170,170
0.11,0.05,0.01,0.01,43.2,47.89,107.56,49.86,0.52,0.43,0.68,0.55,0.02,0.06,0.03,0.08,0.18,0.27,"4669","4669",15,15,192.3,192.3
0.06,0.03,0.03,0.01,541.52,1281.4,558.38,1130.58,0.17,0.17,0.2,0.21,0.08,0.04,0.11,0.06,0.58,0.61,"4212","4212",11,11,700,700
0.33,0.29,0.06,0.08,24.13,17.17,66.32,67,0,0,0,0,0.01,0.03,0.52,0.87,0.01,0.01,"7911","7911",16,16,250,250
0.1,0.02,0.14,0.5,1776.83,8045.14,4616.02,17188.25,0.08,0.05,0.11,0.06,0,0.06,0.01,0.07,0.65,0.67,"2910","2910",11,11,876.03,876.03
0.02,0.01,0,0,130.43,108.5,100.22,75.82,0,0,0,0,0.08,0,0.08,0,0.88,0.97,"4669","4669",11,11,220,220
0.38,0.34,0.11,0.1,88.41,561.64,84.72,796.94,0.16,0.01,0.2,0.04,0.1,0.02,0.5,0.81,0.25,0.31,"6810","6810",14,14,206.68,206.68
0.11,0.11,0.1,0.09,160.49,196.61,164.51,146.89,0.05,0.1,0.07,0.12,0.17,0.07,0.49,0.23,0.33,0.42,"8130","8130",16,16,310,310
0.09,0.13,0.01,0.02,166.5,164.61,43.22,150.34,0,0,0.01,0.01,0.03,0.05,0.09,0.13,0.3,0.28,"3811","3811",16,16,626,626
0.07,0.07,0.04,0.04,101.9,122.06,278.54,259.78,0.03,0.02,0.1,0.07,0.01,0,0.06,0.01,0.23,0.3,"3700","3700",16,16,459,459
0.45,0.56,0.17,0.19,51,43.4,664.89,1357.76,0.39,0.34,0.56,0.5,0.17,0.15,0.41,0.43,0.05,0.05,"6810","6810",15,15,430,430
0.1,0.13,0.05,0.03,76.98,50.81,62.09,59.84,0.28,0.28,0.65,0.64,0.08,0.04,0.41,0.24,0.07,0.08,"2740","2740",16,16,510,510
